"city","datetime","temp","temp_min","temp_max","weather_description","humidity","wind_speed"
"Seoul",1691031600,30.02,30.02,32.75,"scattered clouds",53,3.92
"Seoul",1691042400,31.4,31.4,32.77,"broken clouds",50,4.47
"Seoul",1691053200,30.63,30.63,30.63,"overcast clouds",57,3.73
"Seoul",1691064000,28.1,28.1,28.1,"overcast clouds",70,1.66
"Seoul",1691074800,27.05,27.05,27.05,"broken clouds",77,0.95
"Seoul",1691085600,26.16,26.16,26.16,"scattered clouds",82,0.4
"Seoul",1691096400,25.71,25.71,25.71,"overcast clouds",84,0.44
"Seoul",1691107200,29.49,29.49,29.49,"overcast clouds",65,0.92
"Seoul",1691118000,33.37,33.37,33.37,"broken clouds",50,2.42
"Seoul",1691128800,34.66,34.66,34.66,"scattered clouds",45,4.16
"Seoul",1691139600,32.32,32.32,32.32,"clear sky",52,3.76
"Seoul",1691150400,29.24,29.24,29.24,"clear sky",65,1.28
"Seoul",1691161200,27.95,27.95,27.95,"few clouds",70,0.92
"Seoul",1691172000,26.92,26.92,26.92,"scattered clouds",75,0.52
"Seoul",1691182800,26.32,26.32,26.32,"overcast clouds",77,0.19
"Seoul",1691193600,30,30,30,"overcast clouds",60,1.05
"Seoul",1691204400,34.55,34.55,34.55,"broken clouds",42,1.98
"Seoul",1691215200,36.41,36.41,36.41,"scattered clouds",37,3.38
"Seoul",1691226000,34.65,34.65,34.65,"clear sky",47,3.8
"Seoul",1691236800,31.25,31.25,31.25,"few clouds",64,1.77
"Seoul",1691247600,29.75,29.75,29.75,"few clouds",71,1.05
"Seoul",1691258400,28.43,28.43,28.43,"scattered clouds",76,1.05
"Seoul",1691269200,27.44,27.44,27.44,"scattered clouds",80,1
"Seoul",1691280000,31.23,31.23,31.23,"scattered clouds",61,1.09
"Seoul",1691290800,35.7,35.7,35.7,"clear sky",45,1.07
"Seoul",1691301600,33.95,33.95,33.95,"light rain",52,2.81
"Seoul",1691312400,32.13,32.13,32.13,"light rain",62,1.69
"Seoul",1691323200,28.46,28.46,28.46,"light rain",77,2.18
"Seoul",1691334000,26.21,26.21,26.21,"light rain",87,1.94
"Seoul",1691344800,24.63,24.63,24.63,"light rain",89,2.28
"Seoul",1691355600,23.98,23.98,23.98,"light rain",89,2.17
"Seoul",1691366400,28.57,28.57,28.57,"few clouds",64,3.22
"Seoul",1691377200,33.36,33.36,33.36,"clear sky",48,4.65
"Seoul",1691388000,31.25,31.25,31.25,"light rain",57,5.21
"Seoul",1691398800,30.08,30.08,30.08,"overcast clouds",58,5.39
"Seoul",1691409600,26.79,26.79,26.79,"broken clouds",68,3.91
"Seoul",1691420400,25.47,25.47,25.47,"overcast clouds",73,3.96
"Seoul",1691431200,24.83,24.83,24.83,"broken clouds",76,3.36
"Seoul",1691442000,25.08,25.08,25.08,"broken clouds",74,3.58
"Seoul",1691452800,27.64,27.64,27.64,"broken clouds",66,4.24
"Washington, D.C.",1691031600,29.95,24.45,29.95,"clear sky",21,2.6
"Washington, D.C.",1691042400,21.83,16.39,21.83,"clear sky",42,3.07
"Washington, D.C.",1691053200,14.17,14.17,14.17,"clear sky",58,2.67
"Washington, D.C.",1691064000,12.91,12.91,12.91,"clear sky",55,2.16
"Washington, D.C.",1691074800,20.37,20.37,20.37,"clear sky",39,2.02
"Washington, D.C.",1691085600,28.36,28.36,28.36,"broken clouds",23,1.5
"Washington, D.C.",1691096400,32.76,32.76,32.76,"overcast clouds",16,2.6
"Washington, D.C.",1691107200,34.58,34.58,34.58,"broken clouds",15,2.07
"Washington, D.C.",1691118000,25.77,25.77,25.77,"overcast clouds",34,2.36
"Washington, D.C.",1691128800,18.47,18.47,18.47,"broken clouds",55,2.78
"Washington, D.C.",1691139600,16.4,16.4,16.4,"overcast clouds",60,2.72
"Washington, D.C.",1691150400,15.44,15.44,15.44,"overcast clouds",57,2.26
